sample,Peaks,Ind,Tx,Ab,Type,Sample Det,Treatment,Ind_ab,Ind_Type
MCW_SP_ChIP63,4531,Ind1,VEH,CTCF,ChIP_DNA,Ind1_VEH_CTCF,VEH_CTCF,Ind1_CTCF,Ind1_ChIP_DNA
MCW_SP_ChIP64,132,Ind1,DOX,CTCF,ChIP_DNA,Ind1_DOX_CTCF,DOX_CTCF,Ind1_CTCF,Ind1_ChIP_DNA
MCW_SP_ChIP65,3990,Ind2,VEH,CTCF,ChIP_DNA,Ind2_VEH_CTCF,VEH_CTCF,Ind2_CTCF,Ind2_ChIP_DNA
MCW_SP_ChIP66,1652,Ind2,DOX,CTCF,ChIP_DNA,Ind2_DOX_CTCF,DOX_CTCF,Ind2_CTCF,Ind2_ChIP_DNA
MCW_SP_ChIP67,26551,Ind3,VEH,CTCF,ChIP_DNA,Ind3_VEH_CTCF,VEH_CTCF,Ind3_CTCF,Ind3_ChIP_DNA
MCW_SP_ChIP68,16054,Ind3,DOX,CTCF,ChIP_DNA,Ind3_DOX_CTCF,DOX_CTCF,Ind3_CTCF,Ind3_ChIP_DNA
